dataset,resource,column,field
conservation-area,69066cd4e08c8fe57c8fc3fe35d4cdf24e74353f15e1a7cd9a754b35af65b5be,ogc_fid,reference
conservation-area,6baa53285d47918d0dd2bf29d6a7be0f5efd09fa7e1516f03458931f0d6820bd,ogc_fid,reference
conservation-area,84c44cfaf43f444d83cb6d64ebe8541c4e82886e677802796da9e065f5a06fa7,ogc_fid,reference
conservation-area,926130c38856c112ce2c67b5ef742a5e59a53772542a4eb44d433c2552fd0c26,ogc_fid,reference
conservation-area,a5b8dc2a4704d27f33ec45c031b18b956459366ed188dc749747d703e0acb44f,ogc_fid,reference
conservation-area,a8e8751a4415515b24f6761c15f37f92deb0a4101618354158a292546c2acfad,ogc_fid,reference
conservation-area,ae328a4f895e3773f138ebc81c8f3e008aca4004aa1d4146f3ea7e31e6a78759,ogc_fid,reference
conservation-area,d40c1cffe7893e1ab03561a5d601f65dbc3ceb2b1fe514bb3d42df9aae1b0bbc,ogc_fid,reference
conservation-area,dc4ae297d6b230eec6a6871071a8caf661151b02771ac9cc24ead83655d7abfe,ogc_fid,reference
conservation-area,ea0b362c33ce972a2379e42ff1876599848a2c785708d39b12dde5e19480427f,ogc_fid,reference
conservation-area,ed98b738c7f092f21a15d717ddc81c2d4b4316fa12cc50d60dddf9331b342190,ogc_fid,reference
conservation-area,f9114ac1b99928b5a5593fc106989b79a6c4453fa1dc345b2b4dcbae51f32d4e,ogc_fid,reference
conservation-area,0ef790ef87e0ee076cd3fddc6f80de4e0e03337357d5b8487ba80046df889ebc,orn,reference
conservation-area,165a8e0559ee4d84e414d5358c26afe06ed6bd2d40993803a6c0284fc11ec3d3,orn,reference
conservation-area,84c44cfaf43f444d83cb6d64ebe8541c4e82886e677802796da9e065f5a06fa7,orn,reference
conservation-area,a5b8dc2a4704d27f33ec45c031b18b956459366ed188dc749747d703e0acb44f,orn,reference
conservation-area,ed98b738c7f092f21a15d717ddc81c2d4b4316fa12cc50d60dddf9331b342190,orn,reference
conservation-area,84c44cfaf43f444d83cb6d64ebe8541c4e82886e677802796da9e065f5a06fa7,planningsystemid,reference
conservation-area,806e837b4d1619f30bbf5b0b0e66ad1057df13ea4750511a6b43bce4e0e12f70,prconstrntrefval,reference
conservation-area,a9f8d4ff0fbd665a8aa98a5650466ed4d125448551dbe7989cf3ece1e22923cb,prconstrntrefval,reference
conservation-area,d3dcd8bbb587b2739ebae2b65c6cf648fe026abbe37c8d6e5bd44862ce4a0d38,prconstrntrefval,reference
conservation-area,fb9cd1432bfe914f997d1e67b281902c4a7af3a789bb31847dd1a6da40af0712,prconstrntrefval,reference
conservation-area,3c56dd13513b14355b9a8fa60a4cd8b910e037472133bbdac3036c7fe8bdb2be,ref,reference
conservation-area,520eb1ec8ae55095c54379152943d8c6cae0267c28488ccaa4d7786889d8daba,ref,reference
conservation-area,5dc3b9ab5a121f00edc4542370e8253cd0a19283dfc647fd0fd2a17f078347a7,ref,reference
conservation-area,804c40e898b06dd3e7211583810f9de552f2ffd0d4edc9980cfa0357a9cc362c,ref,reference
conservation-area,84c44cfaf43f444d83cb6d64ebe8541c4e82886e677802796da9e065f5a06fa7,ref,reference
conservation-area,a49d233ee0018bd9fb17e6b724aa95f02419beb4fa2b81bed88e50e07eab75f8,ref,reference
conservation-area,aa0fe3d625d728dad166b5111d2b92acf103e63a10376999c365d847ad4ac2e1,ref,reference
conservation-area,ea334324dcd3fd201bee9d821e187efada1132da3bc3b071b3ce91033ac17576,ref,reference
conservation-area,f5147cd1d96bd0387bea0221b71fcf8f704b278f6de7aa65848cc07fea8bbe72,ref,reference
conservation-area,e6efbb94bde40d6af0921d80ea089e9c5a296ada743f7c5da6b85a020e9de4b8,type,reference
conservation-area,84c44cfaf43f444d83cb6d64ebe8541c4e82886e677802796da9e065f5a06fa7,u_id,reference
conservation-area,083a55a37f8bcf36f3b51cbc7a7ea97bb60107478a6470f0c9fa9df13196ca63,uid,reference
conservation-area,5261479c4f52b03d2b6432eed1df1941dc9912b2e87269ed8bcf5d3eb6162410,uid,reference
conservation-area,f8aaf696417923bac77e7c2d7fedeff24a9c4be81cf33e4e7a800fc8d70c2c0c,uid,reference
conservation-area,083a55a37f8bcf36f3b51cbc7a7ea97bb60107478a6470f0c9fa9df13196ca63,date_of_de,start-date
conservation-area,5261479c4f52b03d2b6432eed1df1941dc9912b2e87269ed8bcf5d3eb6162410,date_of_de,start-date
conservation-area,f8aaf696417923bac77e7c2d7fedeff24a9c4be81cf33e4e7a800fc8d70c2c0c,date_of_de,start-date
conservation-area,043fd72cc71429aad3fffa1a42a75d0c063f5946f5de88a65eb4bc9a71bfb54e,designated_date,start-date
conservation-area,07b84eadda99567f835a1f5919bd0a2ab48291932ad7cfaae33032ffb48744b3,designated_date,start-date
conservation-area,92cd49145a8d049ef38c583cc48b9ca2b3c82227a72b960877e4b521edd982be,designated_date,start-date
conservation-area,420de5ea5ce36d3a33bf6e7213d7179382c4014c5738f30d9a7f786c30ef27c3,statusdate,start-date
conservation-area,078ab364f8171439ecf6f8cb84db2496802693932ca21041bee5c1bdbf6649ca,whencreate,start-date
conservation-area,a9c2c30058ccb3b565a9cc02b5b9a3b38b42f8db1b041bd313e1c9db06be6a87,whencreate,start-date
conservation-area,,Document URL,documentation-url
conservation-area,121300d403bad1c8183f5b74d7ec0c4d277c968679d0f5eb576c507a0b6fd81c,url,documentation-url
conservation-area,,url,documentation-url
conservation-area,1063ba56b4a8aae8465cbfbd123022ec72583ab5e4f1aa1052b5545b25ef38a2,id,reference
conservation-area,1063ba56b4a8aae8465cbfbd123022ec72583ab5e4f1aa1052b5545b25ef38a2,address,name
conservation-area,1063ba56b4a8aae8465cbfbd123022ec72583ab5e4f1aa1052b5545b25ef38a2,link,documentation-url
conservation-area,5c502262ab9ee1873cd3213384c4664daff99164b8f4aae6554437ea4685ec74,name,reference
conservation-area,5c502262ab9ee1873cd3213384c4664daff99164b8f4aae6554437ea4685ec74,da_des,start-date
conservation-area,0da195ca549c9a9b6394ac987ef5aa8a7dabf0253d046a74fc90729e23d0dd94,qgs_fid,reference
conservation-area,0da195ca549c9a9b6394ac987ef5aa8a7dabf0253d046a74fc90729e23d0dd94,date_of_de,start-date
conservation-area,4c15a63ce3b748ef1c9dc7397ffeb333dffbcbc8ca3720f398e0ffa64a4c030e,REFNUM,reference
conservation-area,,REFERENCE,reference
