old-entity,status,entity
44008538,301,44009621
44008539,301,44009621
44008540,301,44009621
44008541,301,44009646
44008542,301,44009617
44008543,301,44009647
44008544,301,44009634
44008545,301,44009649
44008547,301,44009615
44008548,301,44009645
44008550,301,44009654
44008551,301,44009654
44008552,301,44009622
44008553,301,44009619
44008554,301,44009619
44008555,301,44009619
44008556,301,44009656
44008557,301,44009621
44008558,301,44009624
44008559,301,44009624
44008560,301,44009621
44008561,301,44009621
44008562,301,44009621
44008563,301,44009621
44008564,301,44009662
44008565,301,44009621
44008566,301,44009621
44008567,301,44009621
44008568,301,44009621
44008569,301,44009645
44008570,301,44009645
44008571,301,44009645
44008572,301,44009621
44008573,301,44009662
44008574,301,44009621
44008575,301,44009658
44008576,301,44009646
44008577,301,44009648
44008578,301,44009659
44008579,301,44009661
44008580,301,44009660
44008581,301,44009650
44008582,301,44009641
44008583,301,44009649
44008584,301,44009621
44008456,301,44009659
44008464,301,44009660
44008546,301,44009659
44008549,301,44009659
44001406,301,44009616
44001410,301,44009626
44001408,301,44009623
44004965,301,44009621
44001407,301,44009636
44001404,301,44009619
44001411,301,44009658
44001412,301,44009646
44004088,301,44009622
44000054,301,44009653
44000055,301,44009634
44000056,301,44009642
44000057,301,44009648
44004091,301,44009617
44000058,301,44009659
44008911,301,44009659
44004964,301,44009629
44001011,301,44009643
44000061,301,44009662
44008912,301,44009662
44000059,301,44009654
44000062,301,44009620
44000060,301,44009655
44004090,301,44009631
44000063,301,44009625
44004963,301,44009660
44000064,301,44009624
44000065,301,44009657
44004087,301,44009661
44008913,301,44009661
44004962,301,44009650
44000066,301,44009630
44000068,301,44009640
44000070,301,44009615
44004089,301,44009656
44004961,301,44009647
44001012,301,44009639
44001405,301,44009645
44000067,301,44009652
44001409,301,44009651
44000069,301,44009649
44004960,301,44009641
44001010,301,44009632
44001948,301,44008306
44002249,301,44008301
44004191,301,44008310
44001962,301,44008302
44002088,301,44008303
44001910,301,44008304
44001963,301,44008311
44002089,301,44008305
44002244,301,44008298
44002255,301,44008299
44001979,301,44008300
44002196,301,44008307
44001969,301,44008308
44002112,301,44008309
44001952,301,44008316
44002187,301,44008312
44002236,301,44008313
44001862,301,44008314
44002270,301,44008315
44001939,301,44008317
44001994,301,44008318
44001806,301,44008319
44001863,301,44008322
44002028,301,44008320
44002010,301,44008321
44002113,301,44008323
44002209,301,44008324
44002046,301,44008329
44001851,301,44008325
44002076,301,44008326
44002096,301,44008327
44002024,301,44008328
44002228,301,44008331
44002062,301,44008332
44002105,301,44008334
44001870,301,44008335
44001958,301,44008333
44002199,301,44008336
44002267,301,44008330
44007150,301,44009426
44007151,301,44009440
44007152,301,44009434
44007153,301,44009410
44007154,301,44009399
44007155,301,44009463
44007156,301,44009438
44007157,301,44009397
44007158,301,44009444
44007159,301,44009424
44007160,301,44009402
44007161,301,44009420
44007162,301,44009418
44007163,301,44009450
44007164,301,44009458
44007165,301,44009403
44007166,301,44009427
44007167,301,44009432
44007168,301,44009461
44007169,301,44009409
44007170,301,44009425
44007171,301,44009415
44007172,301,44009452
44007173,301,44009455
44007174,301,44009429
44007175,301,44009506
44007175,301,44009441
44007176,301,44009398
44007177,301,44009445
44007178,301,44009467
44007179,301,44009423
44007180,301,44009446
44007181,301,44009453
44007182,301,44009407
44007183,301,44009459
44007184,301,44009464
44007185,301,44009401
44007186,301,44009466
44007187,301,44009422
44007188,301,44009396
44007189,301,44009394
44007190,301,44009430
44007192,301,44009421
44007193,301,44009436
44007194,301,44009411
44007195,301,44009437
44007196,301,44009413
44007197,301,44009443
44007198,301,44009419
44007199,301,44009451
44007200,301,44009439
44007201,301,44009457
44007202,301,44009449
44007203,301,44009456
44007204,301,44009414
44007205,301,44009448
44007206,301,44009416
44007207,301,44009405
44007208,301,44009428
44007209,301,44009404
44007210,301,44009462
44007211,301,44009501
44007212,301,44009508
44007213,301,44009491
44007214,301,44009488
44007215,301,44009489
44007216,301,44009487
44007217,301,44009507
44007218,301,44009502
44007219,301,44009506
44007219,301,44009441
44007220,301,44009492
44007221,301,44009495
44007222,301,44009493
44007223,301,44009504
44007224,301,44009496
44007225,301,44009498
44007226,301,44009503
44007227,301,44009500
44007228,301,44009499
44007229,301,44009505
44007231,301,44009536
44007232,301,44009512
44007233,301,44009544
44007234,301,44009549
44007235,301,44009547
44007236,301,44009551
44007237,301,44009550
44007238,301,44009392
44007239,301,44009522
44007240,301,44009553
44007241,301,44009555
44007242,301,44009556
44007243,301,44009557
44007244,301,44009558
44007245,301,44009559
44007246,301,44009542
44007247,301,44009560
44007248,301,44009561
44007249,301,44009562
44007250,301,44009563
44007251,301,44009565
44007252,301,44009515
44007253,301,44009564
44007254,301,44009566
44007255,301,44009568
44007256,301,44009569
44007257,301,44009554
44007258,301,44009468
44007259,301,44009570
44007260,301,44009572
44007261,301,44009573
44007262,301,44009574
44007263,301,44009575
44007264,301,44009576
44007265,301,44009577
44007266,301,44009529
44007267,301,44009532
44007268,301,44009538
44007269,301,44009517
44007270,301,44009537
44007271,301,44009522
44007272,301,44009586
44007273,301,44009587
44007274,301,44009588
44007275,301,44009395
44007276,301,44009520
44007277,301,44009511
44007278,301,44009513
44007279,301,44009519
44007280,301,44009524
44007281,301,44009525
44007282,301,44009527
44007283,301,44009528
44007284,301,44009530
44007285,301,44009533
44007286,301,44009531
44007287,301,44009518
44007288,301,44009534
44007289,301,44009535
44007290,301,44009539
44007291,301,44009540
44007292,301,44009541
44007293,301,44009543
44007294,301,44009545
44007295,301,44009546
44007296,301,44009578
44007297,301,44009579
44007298,301,44009580
44007299,301,44009581
44007300,301,44009582
44007301,301,44009583
44007302,301,44009584
44007303,301,44009585
44007304,301,44009516
44007305,301,44009589
44007306,301,44009571
44007307,301,44009590
44007308,301,44009393
44007309,301,44009522
44007448,301,44009480
44007449,301,44009481
44007450,301,44009482
44007451,301,44009483
44007452,301,44009469
44007453,301,44009470
44007454,301,44009471
44007455,301,44009509
44007456,301,44009472
44007457,301,44009473
44007458,301,44009474
44007459,301,44009475
44007460,301,44009484
44007461,301,44009485
44007462,301,44009486
44007463,301,44009510
44007464,301,44009476
44007465,301,44009477
44007466,301,44009478
44007467,301,44009479
44000540,301,44008681
44000549,301,44008664
44000550,301,44008665
44000551,301,44008357
44000552,301,44008358
44000553,301,44008359
44000564,301,44008673
44000554,301,44008360
44000555,301,44008685
44000556,301,44008686
44000557,301,44008687
44000569,301,44008694
44000558,301,44009106
44000559,301,44008375
44000560,301,44008688
44000561,301,44008689
44000562,301,44008671
44000563,301,44008672
44000565,301,44008291
44000566,301,44008690
44000567,301,44008388
44000568,301,44008691
44000570,301,44008676
44000571,301,44008692
44000572,301,44008693
44000573,301,44008679
44000574,301,44008376
44000575,301,44008370
44000576,301,44008371
44000577,301,44008372
44000578,301,44008373
